,Missing Values,Percentage Missing
other_trial,0,0.0
irrigation_trial,0,0.0
longitude,0,0.0
farming_category,0,0.0
landuse_type,0,0.0
research_theme,0,0.0
tillage_trial,0,0.0
fertilization_trial,0,0.0
crop_rotation_trial,0,0.0
status,0,0.0
start_date,0,0.0
country,0,0.0
site,0,0.0
name,0,0.0
index,0,0.0
trial_status,0,0.0
trial_duration,0,0.0
id,0,0.0
cover_crop_trial,0,0.0
trial_institution,0,0.0
multifactorial_lte,0,0.0
two_factorial_lte,0,0.0
one_factorial_lte,0,0.0
miscellaneous,0,0.0
agrovoc_keywords,0,0.0
