;Missing Values;Percentage Missing
start_date;0;0
trial_duration;0;0
status;1;0.15
trial_status;5;0.74
research_theme;61;8.97
research_parameters;195;28.68
;;
one_factorial_lte;242;35.59
two_factorial_lte;238;35
multifactorial_lte;239;35.15
landuse_type;12;1.76
farming_category;241;35.44
trial_category;100;14.71
fertilization_trial;73;10.74
crop_rotation_trial;85;12.5
tillage_trial;95;13.97
irrigation_trial;115;16.91
cover_crop_trial;109;16.03
pest_weed_trial;146;21.47
grazing_trial;153;22.5
;;
soil_group_wrb;112;16.47
bulk_density;133;19.56
texture;57;8.38
texture_clay;59;8.68
texture_sand;63;9.26
texture_silt;64;9.41
;;
parental_material;;
