,Missing Values,Percentage Missing
contact_email,121,100.0
contact_name,121,100.0
grazing_levels,121,100.0
irrigation_levels,121,100.0
pest_weed_levels,121,100.0
cover_crop_levels,121,100.0
further_soil_info,121,100.0
organic_carbon_prc,121,100.0
tillage_levels,121,100.0
parental_material,119,98.35
soil_type_other,118,97.52
crop_rotation_levels,118,97.52
size_plots,118,97.52
doi,116,95.87
number_plots,116,95.87
other_levels,116,95.87
randomization,115,95.04
replication,97,80.17
networks,89,73.55
website,87,71.9
experimental_setup,69,57.02
size_hectares,54,44.63
fertilization_levels,53,43.8
literature,48,39.67
sources,47,38.84
