,Missing Values,Percentage Missing
further_soil_info,121,100.0
organic_carbon_prc,121,100.0
grazing_levels,121,100.0
cover_crop_levels,121,100.0
irrigation_levels,121,100.0
pest_weed_levels,121,100.0
tillage_levels,121,100.0
parental_material,119,98.35
size_plots,118,97.52
soil_type_other,118,97.52
crop_rotation_levels,118,97.52
other_levels,116,95.87
number_plots,116,95.87
doi,116,95.87
randomization,115,95.04
replication,97,80.17
experimental_setup,69,57.02
size_hectares,54,44.63
fertilization_levels,53,43.8
research_parameters,30,24.79
bulk_density,13,10.74
soil_group_wrb,10,8.26
texture_sand,1,0.83
texture,1,0.83
texture_silt,1,0.83
texture_clay,1,0.83
trial_duration,0,0.0
